video,matcher,frame_start,frame_end,rotation_error_deg,translation_error_deg,num_matches,num_inliers,mean_reprojection_error_px
seq2,ensemble_topfrac0.5_thresh1,0,1,2.1475831997993824,90.0,342,342,0.0
seq2,ensemble_topfrac0.5_thresh1,1,2,8.369702147880105,90.0,65,65,0.0
seq2,ensemble_topfrac0.5_thresh1,2,5,32.87394560851773,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,5,6,27.13775251530706,90.0,8,8,0.0
seq2,ensemble_topfrac0.5_thresh1,6,7,14.755075254551615,90.0,8,8,0.0
seq2,ensemble_topfrac0.5_thresh1,7,8,31.110649587562378,90.0,9,9,0.0
seq2,ensemble_topfrac0.5_thresh1,8,9,44.88187296980355,90.0,13,13,0.0
seq2,ensemble_topfrac0.5_thresh1,9,10,17.65642566214273,90.0,53,53,0.0
seq2,ensemble_topfrac0.5_thresh1,10,11,21.226786386686435,90.0,76,76,0.0
seq2,ensemble_topfrac0.5_thresh1,11,12,17.09944725047603,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,12,16,20.58156999304165,90.0,9,9,0.0
seq2,ensemble_topfrac0.5_thresh1,16,19,38.647458335663885,90.0,16,16,0.0
seq2,ensemble_topfrac0.5_thresh1,19,20,12.266545996777879,90.0,25,25,0.0
seq2,ensemble_topfrac0.5_thresh1,20,21,8.700880885584299,90.0,10,10,0.0
seq2,ensemble_topfrac0.5_thresh1,21,22,23.970523905826415,90.0,12,12,0.0
seq2,ensemble_topfrac0.5_thresh1,22,24,13.072442377484881,90.0,9,9,0.0
seq2,ensemble_topfrac0.5_thresh1,24,25,16.01774814610011,90.0,26,26,0.0
seq2,ensemble_topfrac0.5_thresh1,25,27,107.9988448106341,90.0,6,6,0.0
seq2,ensemble_topfrac0.5_thresh1,27,28,3.7235695778544184,90.0,10,10,0.0
seq2,ensemble_topfrac0.5_thresh1,28,29,74.8167567344153,90.0,10,10,0.0
seq2,ensemble_topfrac0.5_thresh1,30,31,17.450430291427793,90.0,7,7,0.0
seq2,ensemble_topfrac0.5_thresh1,31,32,10.77865021932076,90.0,106,106,0.0
seq2,ensemble_topfrac0.5_thresh1,32,33,9.313598032618648,90.0,83,83,0.0
seq2,ensemble_topfrac0.5_thresh1,33,35,14.383057955248983,90.0,96,96,0.0
seq2,ensemble_topfrac0.5_thresh1,35,36,23.59144449784842,90.0,91,91,0.0
seq2,ensemble_topfrac0.5_thresh1,36,37,9.257130414212554,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,37,39,14.710998696669753,90.0,12,12,0.0
seq2,ensemble_topfrac0.5_thresh1,39,40,30.08732049633111,90.0,6,6,0.0
seq2,ensemble_topfrac0.5_thresh1,40,44,51.57642926084162,90.0,22,22,0.0
seq2,ensemble_topfrac0.5_thresh1,44,45,23.55886157505468,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,45,46,98.57182523676106,90.0,8,8,0.0
seq2,ensemble_topfrac0.5_thresh1,47,50,50.36383461663269,90.0,7,7,0.0
seq2,ensemble_topfrac0.5_thresh1,50,51,55.65361329185124,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,51,52,9.707535854594036,90.0,97,97,0.0
seq2,ensemble_topfrac0.5_thresh1,52,53,30.932167268249295,90.0,11,11,0.0
seq2,ensemble_topfrac0.5_thresh1,53,58,76.8092758982943,90.0,6,6,0.0
seq2,ensemble_topfrac0.5_thresh1,58,62,49.75888016995227,90.0,6,6,0.0
seq2,ensemble_topfrac0.5_thresh1,62,63,5.606989176808016,90.0,6,6,0.0
seq2,ensemble_topfrac0.5_thresh1,63,67,79.08145244998525,90.0,7,7,0.0
seq2,ensemble_topfrac0.5_thresh1,67,68,25.556205953097276,90.0,23,23,0.0
seq2,ensemble_topfrac0.5_thresh1,68,69,30.794243317364852,90.0,36,36,0.0
seq2,ensemble_topfrac0.5_thresh1,69,70,11.534209457782454,90.0,34,34,0.0
seq2,ensemble_topfrac0.5_thresh1,70,71,6.138937940182073,90.0,63,63,0.0
seq2,ensemble_topfrac0.5_thresh1,71,72,27.468524350228364,90.0,41,41,0.0
seq2,ensemble_topfrac0.5_thresh1,72,73,32.83705937942811,90.0,49,49,0.0
seq2,ensemble_topfrac0.5_thresh1,73,74,65.67071137343957,90.0,18,18,0.0
seq2,ensemble_topfrac0.5_thresh1,74,75,46.076196426548115,90.0,10,10,0.0
seq2,ensemble_topfrac0.5_thresh1,75,76,11.67502050741068,90.0,15,15,0.0
seq2,ensemble_topfrac0.5_thresh1,76,77,101.22143365320854,90.0,16,16,0.0
seq2,ensemble_topfrac0.5_thresh1,77,78,13.102000371859726,90.0,20,20,0.0
seq2,ensemble_topfrac0.5_thresh1,78,79,3.2672603881190274,90.0,21,21,0.0
seq2,ensemble_topfrac0.5_thresh1,79,80,60.456469904929115,90.0,9,9,0.0
seq2,ensemble_topfrac0.5_thresh1,80,82,31.81264498414067,90.0,8,8,0.0
seq2,ensemble_topfrac0.5_thresh1,82,83,16.522415319573334,90.0,19,19,0.0
seq2,ensemble_topfrac0.5_thresh1,84,85,18.23382392401465,90.0,19,19,0.0
seq2,ensemble_topfrac0.5_thresh1,85,87,13.281469720233074,90.0,39,39,0.0
